1	2.000000       0.000000
2	3.133400      3.0680230E-02
3	4.183600      9.4196528E-02
4	4.948000      0.1850013
5	5.292800      0.3482017
6	5.408000      0.3505138
7	4.960000      0.4658868
8	4.147200      0.5198680
9	3.558400      0.8440834
10	2.508800      0.4962879
11	1.638400      0.4589480
12	0.8192000      0.4235841
13	1.228800      0.4426277
14	0.8192000      0.4292469
15	0.000000       0.000000
